user_id,event_type,event_id,ts
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Added,ajs-next-17b4e1e157f7826877580fc141c87f96,2023-12-10 20:40:18.251000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Added,ajs-next-c0e01720d269aa6a6622e195e7547683,2023-12-10 20:40:03.982000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Added,ajs-next-60f9044969998c1d538a992cb5d188e2,2023-12-10 20:39:28.204000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Added,ajs-next-f9115534e604d311e2bcb3b46350a3c7,2023-12-10 20:38:55.920000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Page,ajs-next-cf4f53a88b2f42d51d5c3110adb3556d,2023-12-10 20:38:37.279000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Page,ajs-next-9324668369fa10311ace5673999341bb,2023-12-10 20:43:04.580000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Page,ajs-next-82af8e80ab1a4dfe795db8fd247acf44,2023-12-10 21:20:44.115000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Viewed,ajs-next-55ab993c08b3a7e63b792ab009398292,2023-12-10 21:21:51.722000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Viewed,ajs-next-ba7dc4940755a475478257af6b0b865d,2023-12-10 20:48:27.278000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Viewed,ajs-next-4b5836417e36b829c96848f672822329,2023-12-10 20:45:48.647000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Viewed,ajs-next-2f470433b183e1a07f544c19fdf6b56d,2023-12-10 20:43:30.551000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Viewed,ajs-next-9d68a5b19ef2b9918536fadb5aff91bc,2023-12-10 20:43:04.693000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Viewed,ajs-next-40bd65d9480f77790c765d6a5b95a9f9,2023-12-10 20:42:44.919000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Viewed,ajs-next-1839dec16670a78f57a2555d4e280428,2023-12-10 20:41:54.388000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Viewed,ajs-next-befbb8e1f3d6e9cde794eaf2d6f6fede,2023-12-10 20:38:57.806000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Product Viewed,ajs-next-9318b4b88fcaa6b2fbabd8d667c9bd0c,2023-12-10 20:38:37.301000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Pop-up Email Viewed,8d8303a6-a543-445b-bf14-180f7db6098f,2023-12-10 21:22:00.437000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Pop-up Email Viewed,7397ed63-b560-420e-abd8-3302afff4dc8,2023-12-10 20:38:45.032000
/efJU6z2981VlzzXq361bOZM1Vs/xli/SuOVKR4HIZw=,Pop-up Email Viewed,b9ac30f5-63fb-43e8-b136-370af01fa2e6,2023-12-10 20:43:09.895000
PojEgD1xsN8n2EscO0UnaoEjEoETQsudLGUMoAfn1T4=,Checkout Started,ajs-next-5876e3fe8e97eb0de961786431ad9fd7,2023-07-31 21:12:52.865000
PojEgD1xsN8n2EscO0UnaoEjEoETQsudLGUMoAfn1T4=,Checkout Started,ajs-next-cd0676bf196c1968f649a5ec5cb86491,2023-07-31 21:12:25.165000
PojEgD1xsN8n2EscO0UnaoEjEoETQsudLGUMoAfn1T4=,Checkout Started,ajs-next-4ea185b8893fc510b749bb12646f4fd4,2023-07-31 20:51:21.660000
mTWpNpZeonb+t4Kvid9xdPMj4hm3mw9NHFeu0vAtG8U=,Product Added,ajs-next-200f3f133e4e7999aa81e0374b57fb18,2023-07-31 04:09:04.776000
PojEgD1xsN8n2EscO0UnaoEjEoETQsudLGUMoAfn1T4=,Product Added,ajs-next-10977ffaec688c48b646ff8f2b929ed3,2023-07-31 21:12:13.565000
PojEgD1xsN8n2EscO0UnaoEjEoETQsudLGUMoAfn1T4=,Product Added,ajs-next-847e12d94af9dc99593adaf47a19b360,2023-07-31 21:11:28.206000
PojEgD1xsN8n2EscO0UnaoEjEoETQsudLGUMoAfn1T4=,Product Added,ajs-next-8ceb47ec0b33f8151729900f199d3a3e,2023-07-31 21:10:29.966000
PojEgD1xsN8n2EscO0UnaoEjEoETQsudLGUMoAfn1T4=,Product Added,ajs-next-ca0358fe9ec508ced456548b1ded0248,2023-07-31 20:32:16.262000
PojEgD1xsN8n2EscO0UnaoEjEoETQsudLGUMoAfn1T4=,Product Added,ajs-next-670e360ade2810605644dd85ce5f11df,2023-07-31 20:31:38.326000
PojEgD1xsN8n2EscO0UnaoEjEoETQsudLGUMoAfn1T4=,Product Added,ajs-next-7925d7e0e88e74375f9f280b884f6f47,2023-07-31 20:31:26.008000
